Fighter,Summary,Link
Stéfano Corrêa,"Stéfano Corrêa is a Brazilian Jiu-Jitsu black belt under Master Octávio de Almeida Junior, who worked extensively with Mauricio Cavaquini, Rafael Pionti and Alexandre …",https://www.bjjheroes.com/bjj-fighters/stefano-correa
Alef Brito,"Alef Brito Morais is a Brazilian jiu-jitsu black belt under Wellyton Menezes, Rildo Paiva, and Marcos Santana, who also worked extensively with Osvaldo Moizinho, …",https://www.bjjheroes.com/bjj-fighters/alef-brito
Éricka Almeida,"Éricka Almeida is a Brazilian jiu-jitsu black belt under Herman Gutierrez, who also worked extensively with coach Rodrigo Fajardo of the Gracie Barra Academy. …",https://www.bjjheroes.com/bjj-fighters/ericka-almeida
Diego Bispo,"Diego Bispo is a Brazilian Jiu-Jitsu black belt under Alan Moraes, and a member of the Ares Jiu-Jitsu team, formerly a representative of the …",https://www.bjjheroes.com/bjj-fighters/diego-bispo
Firas Zahabi,"Firas Zahabi is a mixed martial arts (MMA) and grappling coach as well as a black belt in Brazilian jiu-jitsu under John Danaher, being …",https://www.bjjheroes.com/bjj-fighters/firas-zahabi
Chad Hardy,"Chad Hardy, also known as “Beast” is a Brazilian jiu-jitsu black belt under Nick Albin (Chewy), who is also one of the top middleweight …",https://www.bjjheroes.com/bjj-fighters/chad-hardy
Nikki Sullivan,"Nicole Sullivan, commonly known as Nikki Sullivan, is a Brazilian jiu-jitsu black belt under André Galvão, being one of the main athletes in the Atos Jiu-Jitsu …",https://www.bjjheroes.com/bjj-fighters/nikki-sullivan
Alexandre de Jesus,"Alexandre de Jesus, also known as “Robinho”, is a Brazilian jiu-jitsu black belt under Claudio Calasans, being also one of the main representatives of …",https://www.bjjheroes.com/bjj-fighters/alexandre-de-jesus
Talia Marie Vaughan,"Talia Marie Vaughan is a Brazilian jiu-jitsu black belt under Mica Cipili and one of the main lightweight (64,00 kilograms) grappling competitors of her …",https://www.bjjheroes.com/bjj-fighters/talia-marie-vaughan
Frank Rosenthal,"Frank Rosenthal is a Brazilian jiu-jitsu black belt under Doug Pelinkovic, who also worked extensively with John Danaher and Carl Massaro, being a product …",https://www.bjjheroes.com/bjj-fighters/frank-rosenthal
Kit Dale,"Kit Dale is an Australian grappler and a Brazilian jiu-jitsu black belt under Yuri Simões, who also worked with coaches: Bernie Jenkins and Peter …",https://www.bjjheroes.com/bjj-fighters/kit-dale
Gabriel Kitober,"Gabriel Kitober is a Brazilian jiu-jitsu black belt under Master Osvaldo Alves, and a former Fédération Internationale des Luttes Associées (FILA, today’s UWW) Grappling …",https://www.bjjheroes.com/bjj-fighters/gabriel-kitober
Pedro Elias,"Pedro Elias, also known as Chupeta, is a Brazilian jiu-jitsu black belt under Augusto Ferrari who is one of the main representatives of the …",https://www.bjjheroes.com/bjj-fighters/pedro-elias
Fabbio Passos,"Fabbio Passos is a Brazilian jiu-jitsu black belt under Fábio Gurgel, who is widely regarded as one of the better light-featherweight competitors of his …",https://www.bjjheroes.com/bjj-fighters/fabbio-passos
Rodrigo Munduruca,"Rodrigo Munduruca is a Brazilian jiu-jitsu black belt under Sylvio Behring and Maurício “Behring” Pereira (RIP), who moved to Canada in 1999, helping the …",https://www.bjjheroes.com/bjj-fighters/rodrigo-munduruca
Pámela Bóveda Aguirre,"Pámela Bóveda Aguirre is a Brazilian jiu-jitsu black belt under Eduardo Duarte, and the first female from Paraguay to conquer the rank in this …",https://www.bjjheroes.com/bjj-fighters/pamela-boveda-aguirre
Jurandir Conceição,"Jurandir Conceição is a Brazilian jiu-jitsu black belt under Roberto Godoy, being one of the main representatives of the G13 team in the sport/martial …",https://www.bjjheroes.com/bjj-fighters/jurandir-conceicao
Marcelo Mafra,"Marcelo Mafra, commonly known as ‘Lapela’, is a Brazilian jiu-jitsu black belt under Demian Maia, having worked extensively with other well-known instructors such as …",https://www.bjjheroes.com/bjj-fighters/marcelo-mafra
David Raab,"Eliezer David Raab Skaf, commonly known as David Raab, is a Brazilian jiu-jitsu black belt under Eduardo Santoro (Português) and a former member of …",https://www.bjjheroes.com/bjj-fighters/david-raab
Sergio Calderon,"Sergio Calderon Gonzales is a Spanish grappler and a Brazilian Jiu-Jitsu black belt under Yan Cabral, founder of the Cerdanyola Fight Club (CFC Team), …",https://www.bjjheroes.com/bjj-fighters/sergio-calderon
David Garmo,"David Garmo is a professional grappler and Brazilian jiu-jitsu black belt under Danny Agemy, who is regarded as one of the top no-gi BJJ …",https://www.bjjheroes.com/bjj-fighters/garmo
Paul Schreiner,"Paul Schreiner is a Brazilian jiu-jitsu black belt under Claudio França who worked extensively with Garth Taylor, Marcelo Garcia, Dave Camarillo among others. Co-founder …",https://www.bjjheroes.com/bjj-fighters/paul-schreiner
Brian Beaury,"Brian Beaury is a Brazilian jiu-jitsu black belt under Mike Wacker, who also worked extensively with Murilo Santana and JT Torres. One of the …",https://www.bjjheroes.com/bjj-fighters/brian-beaury
Sergio Rios,"Sergio Rios, also known as “Pichilinga”, is a Brazilian jiu-jitsu black belt under Marcos Matos of the Academia Dojô Jiu-Jitsu, having also worked extensively …",https://www.bjjheroes.com/bjj-fighters/sergio-rios
Guilherme Rocha,"Guilherme Rocha is a Brazilian jiu-jitsu black belt, a rank awarded by his father José Olimpio (also known as Zé Radiola). Widely regarded as …",https://www.bjjheroes.com/bjj-fighters/guilherme-rocha
André Almeida,"André Almeida is a Brazilian jiu-jitsu black belt under his brothers: Flávio and Ricardo Almeida, being also one of the main representatives of the …",https://www.bjjheroes.com/bjj-fighters/andre-almeida
Carlos Melo,"Carlos Melo a Dominican born black belt in Brazilian Jiu-Jitsu (BJJ) under the famed grappling coach, Mr. Claudio Franca, pairing up with Caio Terra …",https://www.bjjheroes.com/bjj-fighters/carlos-melo
Inseong Jang,"Inseong Jang is a Korean born martial artist with black belts in judo, hapkido, taekwondo, and Brazilian jiu-jitsu, the latter of which earned while …",https://www.bjjheroes.com/bjj-fighters/inseong-jang
Eduardo Rios,"Eduardo Rios, also known as “Teta”, is a Brazilian jiu-jitsu (BJJ) black belt under Ricardo Libório and the co-founder of Norway’s Frontline Academy, one …",https://www.bjjheroes.com/bjj-fighters/eduardo-rios
Marcos Vinicius Martins,"Marcos Vinicius Martins, often referenced as Marcos “Petcho”, is a Brazilian jiu-jitsu black belt under Marco Barbosa and Diego Martins, as well a representative …",https://www.bjjheroes.com/bjj-fighters/marcos-vinicius-martins
Rida Haisam,"Rida Haisam is a native of Ghana and a grappling pro athlete who earned his Brazilian jiu-jitsu black belt from Yuki Ishikawa, founder of …",https://www.bjjheroes.com/bjj-fighters/rida-haisam
Henrique Cardoso,"José Henrique Cardoso is a Brazilian jiu-jitsu black belt under Alexandro Ceconi and Richard Avila, being one of the main representatives of the Ceconi Kmkz BJJ …",https://www.bjjheroes.com/bjj-fighters/henrique-cardoso
Charlotte Von Baumgarten,"Charlotte Von Baumgarten is a German-born grappler, and a black belt in Brazilian jiu-jitsu under Ulf Ehlert, who also worked extensively with coach Mathias …",https://www.bjjheroes.com/bjj-fighters/charlotte-von-baumgarten
Aniel Bonifacio,"Aniel Bonifacio Candido, commonly known simply as Aniel Bonifacio, is a Brazilian jiu-jitsu black belt under Rodrigo Carvalho, being also one of the main …",https://www.bjjheroes.com/bjj-fighters/aniel-bonifacio
Seif-Eddine Houmine,"Seif-Eddine Houmine is a Moroccan born black belt in Brazilian jiu-jitsu, a rank he achieved while training under the guidance of Mathias Jardin and …",https://www.bjjheroes.com/bjj-fighters/seif-eddine-houmine
Nobuhiro Sawada,"Nobuhiro Sawada is a Japanese born black belt in Brazilian jiu-jitsu under Mitsuyoshi Hayakawa, being also one of the main representatives of the Tri-Force …",https://www.bjjheroes.com/bjj-fighters/nobuhiro-sawada
Ian Sanders,"Ian Sanders is a Brazilian jiu-jitsu black belt under Rodrigo Freitas, being also one of the main representatives of the Rodrigo Freitas Brazilian Jiu-Jitsu …",https://www.bjjheroes.com/bjj-fighters/ian-sanders
Murilo Amaral,"Murilo Amaral is a Brazilian jiu-jitsu black belt under Mario Reis and Jeferson Adam, being also one of the main representatives of the Alliance …",https://www.bjjheroes.com/bjj-fighters/murilo-amaral
Eduardo Lopes,"Luis Eduardo Lopes do Carmo, commonly known as Eduardo Lopes or “Duzão”, is a Brazilian jiu-jitsu black belt under Luiz Guilherme (Guigo), being also …",https://www.bjjheroes.com/bjj-fighters/eduardo-lopes
Larissa Campos,"Larissa Campos Carvalho, commonly known as Lari Campos is a Brazilian jiu-jitsu black belt under Thiago de Guimarães, being also a strong representative of …",https://www.bjjheroes.com/bjj-fighters/larissa-campos
Endres Barbosa,"Endres Barbosa Mendes, commonly known as Endres Barbosa is a jiu-jitsu black belt under Tarcísio Jardim, being also one of the main representatives of …",https://www.bjjheroes.com/bjj-fighters/endres-barbosa
Jeremy Jackson,"Jeremy Jackson is a Brazilian jiu-jitsu (BJJ) black belt under Caio Terra and Alan Marques (Gumby), being also one of the main representatives of …",https://www.bjjheroes.com/bjj-fighters/jeremy-jackson
Alexandre Molinaro,"Alexandre Molinaro is a Brazilian jiu-jitsu black belt under André Vasconcelos (Alemão), who worked extensively with coaches Vini Aieta and Carlson Gracie Junior, being …",https://www.bjjheroes.com/bjj-fighters/alexandre-molinaro
Ffion Davies,"Ffion Davies is a Welsh grappler and a Brazilian jiu-jitsu (BJJ) black belt under Darragh O’Conaill, who is widely regarded as one of the top …",https://www.bjjheroes.com/bjj-fighters/ffion-davies
Ashley Williams,"Ashley Williams is a Welsh-born grappler, and a black belt in Brazilian jiu-jitsu under Chris Rees, being one of the most well known European …",https://www.bjjheroes.com/bjj-fighters/ashley-williams
Brandon Walensky,"Brandon Walensky is a Brazilian jiu-jitsu black belt under Clark Gracie, also working extensively with coach Paulo Fernando Augusto during his formative years. One …",https://www.bjjheroes.com/bjj-fighters/brandon-walensky
Alexis Alduncin,"Alexis Alduncin Barragan is a Mexican born black belt in Brazilian jiu-jitsu, a rank he earned from coach Mario Delgado in 2016. Although suffering …",https://www.bjjheroes.com/bjj-fighters/alexis-alduncin
Fabricio Medici,"Fabricio Medici is a Brazilian Jiu-Jitsu black belt under Givanildo Santana, having also worked extensively with Master Francisco Mansur, being a member of the …",https://www.bjjheroes.com/bjj-fighters/fabricio-medici
Jonathan Thomas,"Jonathan Thomas, often referenced as Jon Thomas, is a Brazilian jiu-jitsu black belt under Master Romero Cavalcanti (Jacaré) and Lucas Lepri, who also worked …",https://www.bjjheroes.com/bjj-fighters/jonathan-thomas
Guilherme Cordiviola,"Guilherme Cordiviola is a Brazilian jiu-jitsu black belt under Sérgio Henrique Miranda, who also worked extensively with coach Alexandre Baraúna and Master Júlio César …",https://www.bjjheroes.com/bjj-fighters/guilherme-cordiviola
PJ Barch,"Paul Jacob Barch, commonly known as PJ Barch, is a jiu-jitsu black belt under Richie Martinez and Eddie Bravo, being one of the main …",https://www.bjjheroes.com/bjj-fighters/pj-barch
Guybson Sá,"Guybson Sá is a Brazilian jiu-jitsu black under his father, the late Master Francisco Sá (red belt), as well as his older brother Francisco …",https://www.bjjheroes.com/bjj-fighters/guybson-sa
Dan Borovic,"Danilo Borovic, commonly referenced as Dan Borovic, is a Brazilian jiu-jitsu black belt of Serbian descent, who earned his rank while training under Scott …",https://www.bjjheroes.com/bjj-fighters/dan-borovic
Dominique Bell,Dominique Bell is a Brazilian jiu-jitsu black belt under André Galvão and a member of the Atos Jiu-Jitsu team. Formerly a member of the US …,https://www.bjjheroes.com/bjj-fighters/dominique-bell
Alexandre Cavaliere,"Alexandre Cavaliere da Silva is a Brazilian jiu-jitsu black belt under Roberto Correa (Gordo) and Paulo Perrota (Rabicó), who also worked extensively with coaches …",https://www.bjjheroes.com/bjj-fighters/alexandre-cavaliere
Felipe Linhares,"Felipe Linhares Arruda is a Brazilian jiu-jitsu black belt under Lucas Lepri, who also worked extensively with coaches Rubens Charles (Cobrinha) and Luciano Nucci, being …",https://www.bjjheroes.com/bjj-fighters/felipe-linhares
Mayssa Bastos,"Mayssa Bastos is a Brazilian jiu-jitsu black belt under Júlio César Pereira and Jair Court of GF Team, who also worked extensively with Murilo …",https://www.bjjheroes.com/bjj-fighters/mayssa-bastos
Ross Nicholls,"Ross Nicholls is a Brazilian jiu-jitsu black belt under César Lima and Roger Gracie, as well as a member of the Roger Gracie Academy …",https://www.bjjheroes.com/bjj-fighters/ross-nicholls
